学号,类别,名称,补充说明,获奖情况,人员次序,获得日期,结题时间,认定学分,状态,审核人,审核意见
202400393,前沿学术报告,名家学术讲座,单场·汽车空气动力学优化设计,,,2026-05-07,,0.5,待审核,,
202400393,年度创新创业项目,校级·负责人,校园共享电动车调度优化研究,,负责人,2025-07-21,2027-06-30,2.0,通过,张伟,材料齐全，同意认定
202400393,科技创新竞赛,校智能车校内选拔赛,,校级·一等奖,第二完成人,2025-03-25,,0.7,通过,张伟,材料齐全，同意认定
202400393,创业实践,新能源汽车科普工作室,注册成立公司·团队成员,,团队成员,2026-03-19,,2.0,通过,张伟,材料齐全，同意认定
202400393,学术论文,混合动力汽车能量管理策略仿真,普通期刊·第二作者,,第二作者,2026-05-17,,1.0,通过,张伟,佐证材料完整，予以通过
202400393,申请专利,一种新能源汽车充电枪锁止机构,实用新型专利·第一发明人,,第一发明人,2026-08-27,,3.0,通过,张伟,佐证材料完整，予以通过
202400393,其他实践活动,汽车工程学院企业行,学术交流访问·出境交流,,,2025-03-21,,2.0,通过,张伟,符合认定条件，通过
202400394,前沿学术报告,汽车百家讲坛,第6-10期·动力电池热管理关键技术,,,2026-08-12,,0.25,通过,张伟,佐证材料完整，予以通过
202400394,年度创新创业项目,校级·核心成员,二手车价格预测模型构建,,核心成员,2025-03-20,2027-06-30,1.5,待审核,,
202400394,科技创新竞赛,挑战杯全国大学生课外学术科技作品竞赛,,省级·一等奖,第二完成人,2025-11-05,,2.1,驳回,张伟,材料不完整，请补充佐证后重新提交
202400394,创业实践,新能源汽车科普工作室,入驻孵化器·负责人,,负责人,2026-03-09,,4.0,驳回,张伟,材料不完整，请补充佐证后重新提交
202400394,学术论文,基于多目标优化的车身结构轻量化设计,国际/国内会议·第二作者,,第二作者,2026-07-15,,2.0,公示中,张伟,佐证材料完整，予以通过
202400394,申请专利,一种可调节角度的车载平板支架,外观设计专利·第一发明人,,第一发明人,2026-03-11,,2.0,通过,张伟,材料齐全，同意认定
202400394,其他实践活动,智能驾驶技术专题培训,学术交流访问·出境交流,,,2025-03-12,,2.0,驳回,张伟,认定依据不足，请补充说明材料
202400395,前沿学术报告,汽车百家讲坛,第6-10期·新能源汽车动力总成发展趋势,,,2025-02-17,,0.25,通过,张伟,佐证材料完整，予以通过
202400395,年度创新创业项目,校级·核心成员,氢燃料电池汽车散热性能仿真分析,,核心成员,2025-03-25,2027-06-30,1.5,通过,张伟,符合认定条件，通过
202400395,科技创新竞赛,全国大学生智能汽车竞赛,,国家级·二等奖,第二完成人,2025-07-19,,2.8,通过,张伟,材料齐全，同意认定
202400395,创业实践,新能源汽车科普工作室,创业训练计划·团队成员,,团队成员,2026-04-08,,1.5,通过,张伟,符合认定条件，通过
202400395,学术论文,基于YOLO的车距保持辅助算法研究,普通期刊·其他作者,,其他作者,2026-07-08,,0.5,通过,张伟,佐证材料完整，予以通过
202400395,申请专利,一种电动汽车电池包液冷结构,外观设计专利·其他发明人,,其他发明人,2026-02-13,,1.0,驳回,张伟,盖章缺失，请重新上传完整材料
202400395,其他实践活动,德国亚琛工业大学线上交流项目,学术交流访问·境内交流,,,2025-02-19,,1.0,待审核,,
202400396,前沿学术报告,汽车百家讲坛,第11期以后·车载总线与嵌入式系统开发,,,2025-09-18,,0.25,通过,张伟,材料齐全，同意认定
202400396,年度创新创业项目,校级·核心成员,基于STM32的智能循迹小车,,核心成员,2025-09-13,2027-06-30,1.5,通过,张伟,符合认定条件，通过
202400396,科技创新竞赛,全国大学生节能减排社会实践与科技竞赛,,省级·一等奖,负责人,2026-08-08,,3.0,待审核,,
202400396,创业实践,大学生汽车文创工作室,创业训练计划·团队成员,,团队成员,2026-07-28,,1.5,待审核,,
202400396,学术论文,低温环境下锂电池充放电特性研究,国际/国内会议·第一作者,,第一作者,2026-07-22,,3.0,通过,张伟,材料齐全，同意认定
202400396,申请专利,一种基于视觉的后视镜盲区监测装置,发明专利·其他发明人,,其他发明人,2026-05-24,,3.0,通过,张伟,符合认定条件，通过
202400396,其他实践活动,汽车造型设计工作坊,技能资格培训·中级,,,2025-08-01,,1.0,通过,张伟,佐证材料完整，予以通过
202400397,前沿学术报告,汽车百家讲坛,第6-10期·汽车轻量化设计与新材料应用,,,2025-07-02,,0.25,通过,张伟,符合认定条件，通过
202400397,年度创新创业项目,省级·负责人,氢燃料电池汽车散热性能仿真分析,,负责人,2025-09-06,2027-06-30,4.0,待审核,,
202400397,科技创新竞赛,挑战杯全国大学生课外学术科技作品竞赛,,国家级·一等奖,第一完成人,2025-07-01,,6.0,通过,张伟,符合认定条件，通过
202400397,创业实践,校园二手书流转平台,创业训练计划·负责人,,负责人,2026-03-21,,3.0,通过,张伟,材料齐全，同意认定
202400397,学术论文,混合动力汽车能量管理策略仿真,普通期刊·第一作者,,第一作者,2026-01-24,,2.0,通过,张伟,符合认定条件，通过
202400397,申请专利,一种多功能汽车后备箱收纳架,外观设计专利·第一发明人,,第一发明人,2026-08-03,,2.0,通过,张伟,材料齐全，同意认定
202400397,其他实践活动,汽车造型设计工作坊,技能资格培训·初级,,,2025-07-21,,0.5,待审核,,
202400398,前沿学术报告,汽车百家讲坛,第6-10期·氢能及燃料电池汽车产业展望,,,2026-06-15,,0.25,待审核,,
202400398,年度创新创业项目,国家级·核心成员,二手车价格预测模型构建,,核心成员,2025-09-26,2027-06-30,4.0,通过,张伟,佐证材料完整，予以通过
202400398,科技创新竞赛,全国大学生智能汽车竞赛,,国家级·三等奖,负责人,2025-12-07,,2.0,待审核,,
202400398,创业实践,大学生汽车文创工作室,创业训练计划·团队成员,,团队成员,2026-03-07,,1.5,待院长审批,张伟,初审通过，转院长审批
202400398,学术论文,燃料电池汽车氢气循环系统特性分析,国际/国内会议·第一作者,,第一作者,2026-07-13,,3.0,通过,张伟,符合认定条件，通过
202400398,申请专利,一种多功能汽车后备箱收纳架,外观设计专利·其他发明人,,其他发明人,2026-06-26,,1.0,通过,张伟,佐证材料完整，予以通过
202400398,其他实践活动,汽车工程学院企业行,学科冬夏令营·国家级,,,2025-08-12,,2.0,公示中,张伟,符合认定条件，通过
202400399,前沿学术报告,汽车百家讲坛,第6-10期·汽车空气动力学优化设计,,,2026-02-26,,0.25,待审核,,
202400399,年度创新创业项目,校级·一般成员,太阳能小车能量管理策略研究,,一般成员,2025-10-25,2027-06-30,1.0,通过,张伟,佐证材料完整，予以通过
202400399,科技创新竞赛,全国大学生智能汽车竞赛,,国家级·一等奖,第三完成人,2026-08-23,,3.0,通过,张伟,符合认定条件，通过
202400399,创业实践,校园二手书流转平台,注册成立公司·合伙人,,合伙人,2026-07-21,,4.0,通过,张伟,符合认定条件，通过
202400399,学术论文,基于深度学习的路面裂缝检测方法研究,SCI/EI 收录·第二作者,,第二作者,2026-07-12,,4.0,待审核,,
202400399,申请专利,一种基于视觉的后视镜盲区监测装置,实用新型专利·其他发明人,,其他发明人,2026-07-03,,1.5,通过,张伟,符合认定条件，通过
202400399,其他实践活动,汽车工程学院企业行,学科冬夏令营·省级,,,2026-05-08,,1.0,驳回,张伟,材料不完整，请补充佐证后重新提交
202400400,前沿学术报告,信息科学论坛,第6期以后·智能制造与数字化工厂实践,,,2025-02-18,,0.25,公示中,张伟,符合认定条件，通过
202400400,年度创新创业项目,校级·一般成员,新能源汽车电池热管理优化研究,,一般成员,2025-02-23,2027-06-30,1.0,通过,张伟,符合认定条件，通过
202400400,科技创新竞赛,全国大学生数学建模竞赛,,国家级·二等奖,第二完成人,2025-10-08,,2.8,待审核,,
202400400,创业实践,新能源汽车科普工作室,注册成立公司·团队成员,,团队成员,2026-04-25,,2.0,驳回,张伟,时间信息有误，请核对后重新提交
202400400,学术论文,基于深度学习的路面裂缝检测方法研究,核心期刊·第一作者,,第一作者,2026-04-10,,4.0,通过,张伟,符合认定条件，通过
202400400,申请专利,一种电动汽车电池包液冷结构,实用新型专利·其他发明人,,其他发明人,2026-05-16,,1.5,通过,张伟,符合认定条件，通过
202400400,其他实践活动,汽车工程学院企业行,学科冬夏令营·校级,,,2026-04-07,,0.5,通过,张伟,佐证材料完整，予以通过
202400401,前沿学术报告,汽车百家讲坛,第11期以后·车载总线与嵌入式系统开发,,,2026-08-23,,0.25,待审核,,
202400401,年度创新创业项目,校级·一般成员,智能导览机器人设计与实现,,一般成员,2025-04-23,2027-06-30,1.0,驳回,张伟,材料不完整，请补充佐证后重新提交
202400401,科技创新竞赛,全国大学生机械创新设计大赛,,国家级·三等奖,第三完成人,2025-11-26,,1.0,驳回,张伟,认定依据不足，请补充说明材料
202400401,创业实践,校园二手书流转平台,注册成立公司·团队成员,,团队成员,2026-01-22,,2.0,待审核,,
202400401,学术论文,基于多目标优化的车身结构轻量化设计,国际/国内会议·第二作者,,第二作者,2026-08-09,,2.0,通过,张伟,佐证材料完整，予以通过
202400401,申请专利,一种车载智能空气净化装置,发明专利·其他发明人,,其他发明人,2026-08-14,,3.0,通过,张伟,符合认定条件，通过
202400401,其他实践活动,暑期高校科学营活动,学科冬夏令营·省级,,,2025-02-15,,1.0,通过,张伟,材料齐全，同意认定
202400402,前沿学术报告,汽车百家讲坛,第6-10期·汽车芯片与域控制器架构,,,2025-06-01,,0.25,通过,张伟,符合认定条件，通过
202400402,年度创新创业项目,院级·一般成员,校园共享电动车调度优化研究,,一般成员,2025-02-13,2027-06-30,0.5,通过,张伟,材料齐全，同意认定
202400402,科技创新竞赛,中国大学生方程式汽车大赛,,国家级·三等奖,第二完成人,2026-02-01,,1.4,通过,张伟,材料齐全，同意认定
202400402,创业实践,校园二手书流转平台,注册成立公司·合伙人,,合伙人,2026-08-23,,4.0,待审核,,
202400402,学术论文,混合动力汽车能量管理策略仿真,普通期刊·第一作者,,第一作者,2026-04-14,,2.0,通过,张伟,符合认定条件，通过
202400402,申请专利,一种基于视觉的后视镜盲区监测装置,实用新型专利·其他发明人,,其他发明人,2026-05-27,,1.5,待审核,,
202400402,其他实践活动,汽车造型设计工作坊,学科冬夏令营·国家级,,,2026-02-22,,2.0,驳回,张伟,时间信息有误，请核对后重新提交
202400403,前沿学术报告,名家学术讲座,单场·汽车轻量化设计与新材料应用,,,2025-04-16,,0.5,待审核,,
202400403,年度创新创业项目,院级·一般成员,车载OBD数据采集与驾驶行为分析,,一般成员,2025-09-09,2027-06-30,0.5,通过,张伟,材料齐全，同意认定
202400403,科技创新竞赛,全国大学生机械创新设计大赛,,国家级·一等奖,核心成员,2026-05-20,,3.6,通过,张伟,材料齐全，同意认定
202400403,创业实践,新能源汽车科普工作室,注册成立公司·团队成员,,团队成员,2026-02-27,,2.0,通过,张伟,材料齐全，同意认定
202400403,学术论文,混合动力汽车能量管理策略仿真,普通期刊·其他作者,,其他作者,2026-05-25,,0.5,通过,张伟,佐证材料完整，予以通过
202400403,申请专利,一种新能源汽车充电枪锁止机构,实用新型专利·第一发明人,,第一发明人,2026-05-14,,3.0,通过,张伟,佐证材料完整，予以通过
202400403,其他实践活动,德国亚琛工业大学线上交流项目,技能资格培训·初级,,,2025-04-15,,0.5,通过,张伟,符合认定条件，通过
202400404,前沿学术报告,汽车百家讲坛,第6-10期·无人驾驶环境感知技术进展,,,2025-01-05,,0.25,通过,张伟,材料齐全，同意认定
202400404,年度创新创业项目,校级·核心成员,校园共享电动车调度优化研究,,核心成员,2025-07-07,2027-06-30,1.5,通过,张伟,材料齐全，同意认定
202400404,科技创新竞赛,中国大学生方程式汽车大赛,,国家级·三等奖,第三完成人,2025-04-03,,1.0,通过,张伟,材料齐全，同意认定
202400404,创业实践,校内共享打印服务站,入驻孵化器·负责人,,负责人,2026-04-13,,4.0,驳回,张伟,材料不完整，请补充佐证后重新提交
202400404,学术论文,基于多目标优化的车身结构轻量化设计,SCI/EI 收录·第二作者,,第二作者,2026-03-10,,4.0,驳回,张伟,盖章缺失，请重新上传完整材料
202400404,申请专利,一种电动汽车电池包液冷结构,实用新型专利·第一发明人,,第一发明人,2026-01-22,,3.0,待审核,,
202400404,其他实践活动,暑期高校科学营活动,技能资格培训·中级,,,2025-03-01,,1.0,通过,张伟,佐证材料完整，予以通过
202400405,前沿学术报告,汽车百家讲坛,第1-5期·无人驾驶环境感知技术进展,,,2026-05-27,,0.25,通过,张伟,佐证材料完整，予以通过
202400405,年度创新创业项目,校级·负责人,校园共享电动车调度优化研究,,负责人,2025-03-23,2027-06-30,2.0,待审核,,
202400405,科技创新竞赛,校智能车校内选拔赛,,校级·三等奖,负责人,2026-03-28,,0.5,通过,张伟,材料齐全，同意认定
202400405,创业实践,二手车检测陪购服务工作室,注册成立公司·法人代表,,法人代表,2026-04-06,,6.0,通过,张伟,材料齐全，同意认定
202400405,学术论文,汽车主动悬架半主动控制策略仿真,SCI/EI 收录·其他作者,,其他作者,2026-04-06,,2.0,公示中,张伟,符合认定条件，通过
202400405,申请专利,一种新能源汽车充电枪锁止机构,实用新型专利·其他发明人,,其他发明人,2026-04-23,,1.5,通过,张伟,材料齐全，同意认定
202400405,其他实践活动,智能驾驶技术专题培训,技能资格培训·中级,,,2026-04-08,,1.0,待审核,,
202400406,前沿学术报告,名家学术讲座,单场·汽车轻量化设计与新材料应用,,,2025-04-25,,0.5,通过,张伟,佐证材料完整，予以通过
202400406,年度创新创业项目,省级·一般成员,基于机器视觉的行人过街检测系统,,一般成员,2025-11-07,2027-06-30,1.5,通过,张伟,佐证材料完整，予以通过
202400406,科技创新竞赛,挑战杯全国大学生课外学术科技作品竞赛,,国家级·二等奖,核心成员,2025-08-23,,2.4,待审核,,
202400406,创业实践,校园二手书流转平台,注册成立公司·团队成员,,团队成员,2026-02-07,,2.0,待审核,,
202400406,学术论文,燃料电池汽车氢气循环系统特性分析,国际/国内会议·第一作者,,第一作者,2026-04-21,,3.0,通过,张伟,佐证材料完整，予以通过
202400406,申请专利,一种电动汽车电池包液冷结构,实用新型专利·其他发明人,,其他发明人,2026-07-26,,1.5,通过,张伟,符合认定条件，通过
202400406,其他实践活动,德国亚琛工业大学线上交流项目,学科冬夏令营·省级,,,2026-06-11,,1.0,通过,张伟,符合认定条件，通过
202400407,前沿学术报告,名家学术讲座,单场·汽车空气动力学优化设计,,,2025-04-03,,0.5,待审核,,
202400407,年度创新创业项目,省级·负责人,基于深度学习的交通标志识别系统,,负责人,2025-08-28,2027-06-30,4.0,通过,张伟,佐证材料完整，予以通过
202400407,科技创新竞赛,全国大学生节能减排社会实践与科技竞赛,,省级·一等奖,第一完成人,2025-08-02,,3.0,待审核,,
202400407,创业实践,二手车检测陪购服务工作室,入驻孵化器·负责人,,负责人,2026-02-11,,4.0,通过,张伟,佐证材料完整，予以通过
202400407,学术论文,基于YOLO的车距保持辅助算法研究,核心期刊·第一作者,,第一作者,2026-05-28,,4.0,通过,张伟,材料齐全，同意认定
202400407,申请专利,一种电动汽车电池包液冷结构,实用新型专利·其他发明人,,其他发明人,2026-01-13,,1.5,待审核,,
202400407,其他实践活动,德国亚琛工业大学线上交流项目,技能资格培训·初级,,,2025-11-01,,0.5,通过,张伟,材料齐全，同意认定
202400408,前沿学术报告,汽车百家讲坛,第11期以后·动力电池热管理关键技术,,,2025-12-08,,0.25,通过,张伟,佐证材料完整，予以通过
202400408,年度创新创业项目,院级·一般成员,基于深度学习的交通标志识别系统,,一般成员,2025-05-19,2027-06-30,0.5,待审核,,
202400408,科技创新竞赛,全国大学生机械创新设计大赛,,国家级·三等奖,第一完成人,2025-05-12,,2.0,通过,张伟,材料齐全，同意认定
202400408,创业实践,智能驾培服务平台,入驻孵化器·负责人,,负责人,2026-01-22,,4.0,通过,张伟,佐证材料完整，予以通过
202400408,学术论文,基于多目标优化的车身结构轻量化设计,SCI/EI 收录·第一作者,,第一作者,2026-07-11,,6.0,驳回,张伟,时间信息有误，请核对后重新提交
202400408,申请专利,一种多功能汽车后备箱收纳架,实用新型专利·第一发明人,,第一发明人,2026-02-22,,3.0,通过,张伟,佐证材料完整，予以通过
202400408,其他实践活动,汽车工程学院企业行,技能资格培训·中级,,,2025-08-10,,1.0,通过,张伟,材料齐全，同意认定
202400409,前沿学术报告,汽车百家讲坛,第11期以后·无人驾驶环境感知技术进展,,,2026-04-26,,0.25,通过,张伟,佐证材料完整，予以通过
202400409,年度创新创业项目,校级·一般成员,基于STM32的智能循迹小车,,一般成员,2025-11-18,2027-06-30,1.0,待审核,,
202400409,科技创新竞赛,中国国际大学生创新大赛,,省级·一等奖,第一完成人,2025-06-04,,3.0,通过,张伟,符合认定条件，通过
202400409,创业实践,智能驾培服务平台,注册成立公司·法人代表,,法人代表,2026-08-17,,6.0,通过,张伟,佐证材料完整，予以通过
202400409,学术论文,低温环境下锂电池充放电特性研究,国际/国内会议·第一作者,,第一作者,2026-01-11,,3.0,待审核,,
202400409,申请专利,一种电动汽车电池包液冷结构,外观设计专利·第一发明人,,第一发明人,2026-07-07,,2.0,通过,张伟,材料齐全，同意认定
202400409,其他实践活动,全国大学生汽车科技夏令营,学科冬夏令营·省级,,,2025-02-10,,1.0,通过,张伟,佐证材料完整，予以通过
202400410,前沿学术报告,汽车百家讲坛,第11期以后·氢能及燃料电池汽车产业展望,,,2025-10-10,,0.25,待审核,,
202400410,年度创新创业项目,校级·核心成员,太阳能小车能量管理策略研究,,核心成员,2025-12-01,2027-06-30,1.5,通过,张伟,材料齐全，同意认定
202400410,科技创新竞赛,挑战杯全国大学生课外学术科技作品竞赛,,国家级·二等奖,第三完成人,2025-10-04,,2.0,通过,张伟,材料齐全，同意认定
202400410,创业实践,智能驾培服务平台,注册成立公司·合伙人,,合伙人,2026-02-08,,4.0,通过,张伟,材料齐全，同意认定
202400410,学术论文,电动汽车无线充电耦合机构优化设计,SCI/EI 收录·其他作者,,其他作者,2026-05-16,,2.0,待审核,,
202400410,申请专利,一种新能源汽车充电枪锁止机构,外观设计专利·第一发明人,,第一发明人,2026-01-10,,2.0,通过,张伟,佐证材料完整，予以通过
202400410,其他实践活动,德国亚琛工业大学线上交流项目,学术交流访问·境内交流,,,2025-04-11,,1.0,通过,张伟,佐证材料完整，予以通过
202400411,前沿学术报告,名家学术讲座,单场·智能网联汽车技术前沿,,,2025-11-22,,0.5,通过,张伟,材料齐全，同意认定
202400411,年度创新创业项目,校级·一般成员,智能导览机器人设计与实现,,一般成员,2025-02-21,2027-06-30,1.0,驳回,张伟,认定依据不足，请补充说明材料
202400411,科技创新竞赛,全国大学生智能汽车竞赛,,国家级·一等奖,核心成员,2025-01-28,,3.6,通过,张伟,佐证材料完整，予以通过
202400411,创业实践,智能驾培服务平台,创业训练计划·负责人,,负责人,2026-02-07,,3.0,通过,张伟,佐证材料完整，予以通过
202400411,学术论文,基于YOLO的车距保持辅助算法研究,普通期刊·第一作者,,第一作者,2026-07-04,,2.0,通过,张伟,佐证材料完整，予以通过
202400411,申请专利,一种新能源汽车充电枪锁止机构,外观设计专利·第一发明人,,第一发明人,2026-04-13,,2.0,待审核,,
202400411,其他实践活动,智能驾驶技术专题培训,技能资格培训·中级,,,2025-11-26,,1.0,通过,张伟,材料齐全，同意认定
202400412,前沿学术报告,汽车百家讲坛,第6-10期·新能源汽车动力总成发展趋势,,,2026-08-28,,0.25,通过,张伟,材料齐全，同意认定
202400412,年度创新创业项目,省级·核心成员,车载OBD数据采集与驾驶行为分析,,核心成员,2025-05-06,2027-06-30,3.0,待审核,,
202400412,科技创新竞赛,全国大学生智能汽车竞赛,,国家级·三等奖,第一完成人,2026-01-06,,2.0,通过,张伟,佐证材料完整，予以通过
202400412,创业实践,智能驾培服务平台,创业训练计划·团队成员,,团队成员,2026-03-04,,1.5,通过,张伟,材料齐全，同意认定
202400412,学术论文,基于YOLO的车距保持辅助算法研究,核心期刊·第一作者,,第一作者,2026-03-26,,4.0,通过,张伟,材料齐全，同意认定
202400412,申请专利,一种新能源汽车充电枪锁止机构,实用新型专利·其他发明人,,其他发明人,2026-07-25,,1.5,通过,张伟,符合认定条件，通过
202400412,其他实践活动,智能驾驶技术专题培训,学术交流访问·出境交流,,,2025-01-20,,2.0,通过,张伟,佐证材料完整，予以通过
202400413,前沿学术报告,汽车百家讲坛,第6-10期·车载总线与嵌入式系统开发,,,2025-12-04,,0.25,通过,张伟,材料齐全，同意认定
202400413,年度创新创业项目,校级·负责人,二手车价格预测模型构建,,负责人,2025-04-07,2027-06-30,2.0,通过,张伟,佐证材料完整，予以通过
202400413,科技创新竞赛,中国大学生方程式汽车大赛,,国家级·二等奖,第三完成人,2025-02-21,,2.0,通过,张伟,佐证材料完整，予以通过
202400413,创业实践,大学生汽车文创工作室,创业训练计划·团队成员,,团队成员,2026-02-07,,1.5,通过,张伟,符合认定条件，通过
202400413,学术论文,基于YOLO的车距保持辅助算法研究,国际/国内会议·其他作者,,其他作者,2026-08-06,,1.0,通过,张伟,符合认定条件，通过
202400413,申请专利,一种基于视觉的后视镜盲区监测装置,实用新型专利·其他发明人,,其他发明人,2026-02-07,,1.5,通过,张伟,符合认定条件，通过
202400413,其他实践活动,德国亚琛工业大学线上交流项目,学术交流访问·境内交流,,,2026-01-14,,1.0,公示中,张伟,材料齐全，同意认定
202400414,前沿学术报告,信息科学论坛,第6期以后·无人驾驶环境感知技术进展,,,2026-01-26,,0.25,待审核,,
202400414,年度创新创业项目,省级·一般成员,汽车内饰件轻量化设计,,一般成员,2025-11-24,2027-06-30,1.5,通过,张伟,材料齐全，同意认定
202400414,科技创新竞赛,全国大学生数学建模竞赛,,国家级·一等奖,第二完成人,2025-08-20,,4.2,通过,张伟,符合认定条件，通过
202400414,创业实践,校内共享打印服务站,入驻孵化器·团队成员,,团队成员,2026-01-14,,2.0,待审核,,
202400414,学术论文,混合动力汽车能量管理策略仿真,国际/国内会议·第二作者,,第二作者,2026-05-01,,2.0,通过,张伟,佐证材料完整，予以通过
202400414,申请专利,一种多功能汽车后备箱收纳架,实用新型专利·第一发明人,,第一发明人,2026-05-20,,3.0,待审核,,
202400414,其他实践活动,暑期高校科学营活动,学术交流访问·出境交流,,,2025-12-14,,2.0,通过,张伟,材料齐全，同意认定
202400415,前沿学术报告,信息科学论坛,第1-5期·汽车轻量化设计与新材料应用,,,2025-03-15,,0.25,通过,张伟,佐证材料完整，予以通过
202400415,年度创新创业项目,校级·一般成员,二手车价格预测模型构建,,一般成员,2025-03-09,2027-06-30,1.0,通过,张伟,符合认定条件，通过
202400415,科技创新竞赛,中国国际大学生创新大赛,,国家级·二等奖,第二完成人,2025-05-25,,2.8,通过,张伟,材料齐全，同意认定
202400415,创业实践,大学生汽车文创工作室,创业训练计划·负责人,,负责人,2026-02-24,,3.0,待审核,,
202400415,学术论文,低温环境下锂电池充放电特性研究,核心期刊·其他作者,,其他作者,2026-04-23,,1.0,通过,张伟,符合认定条件，通过
202400415,申请专利,一种新能源汽车充电枪锁止机构,实用新型专利·第一发明人,,第一发明人,2026-06-20,,3.0,待审核,,
202400415,其他实践活动,全国大学生汽车科技夏令营,学科冬夏令营·省级,,,2026-07-25,,1.0,通过,张伟,佐证材料完整，予以通过
202400416,前沿学术报告,汽车百家讲坛,第6-10期·新能源汽车动力总成发展趋势,,,2025-08-04,,0.25,通过,张伟,符合认定条件，通过
202400416,年度创新创业项目,校级·一般成员,氢燃料电池汽车散热性能仿真分析,,一般成员,2025-01-12,2027-06-30,1.0,通过,张伟,符合认定条件，通过
202400416,科技创新竞赛,山东省大学生机电产品创新设计竞赛,,省级·三等奖,第二完成人,2026-04-23,,0.7,待审核,,
202400416,创业实践,二手车检测陪购服务工作室,入驻孵化器·团队成员,,团队成员,2026-06-05,,2.0,通过,张伟,材料齐全，同意认定
202400416,学术论文,混合动力汽车能量管理策略仿真,普通期刊·第二作者,,第二作者,2026-05-27,,1.0,通过,张伟,材料齐全，同意认定
202400416,申请专利,一种基于视觉的后视镜盲区监测装置,外观设计专利·第一发明人,,第一发明人,2026-08-21,,2.0,通过,张伟,符合认定条件，通过
202400416,其他实践活动,汽车造型设计工作坊,学术交流访问·境内交流,,,2025-02-02,,1.0,通过,张伟,符合认定条件，通过
202400417,前沿学术报告,汽车百家讲坛,第11期以后·车载总线与嵌入式系统开发,,,2026-01-28,,0.25,驳回,张伟,材料不完整，请补充佐证后重新提交
202400417,年度创新创业项目,校级·核心成员,基于深度学习的交通标志识别系统,,核心成员,2025-07-20,2027-06-30,1.5,通过,张伟,符合认定条件，通过
202400417,科技创新竞赛,挑战杯全国大学生课外学术科技作品竞赛,,国家级·二等奖,第二完成人,2025-05-15,,2.8,驳回,张伟,盖章缺失，请重新上传完整材料
202400417,创业实践,大学生汽车文创工作室,创业训练计划·负责人,,负责人,2026-03-06,,3.0,通过,张伟,佐证材料完整，予以通过
202400417,学术论文,基于深度学习的路面裂缝检测方法研究,国际/国内会议·第一作者,,第一作者,2026-07-09,,3.0,通过,张伟,材料齐全，同意认定
202400417,申请专利,一种基于视觉的后视镜盲区监测装置,发明专利·其他发明人,,其他发明人,2026-04-28,,3.0,待审核,,
202400417,其他实践活动,智能驾驶技术专题培训,学术交流访问·境内交流,,,2025-01-20,,1.0,通过,张伟,材料齐全，同意认定
202400418,前沿学术报告,汽车百家讲坛,第6-10期·无人驾驶环境感知技术进展,,,2025-01-25,,0.25,通过,张伟,材料齐全，同意认定
202400418,年度创新创业项目,省级·一般成员,校园共享电动车调度优化研究,,一般成员,2025-07-18,2027-06-30,1.5,通过,张伟,材料齐全，同意认定
202400418,科技创新竞赛,中国大学生方程式汽车大赛,,国家级·一等奖,第三完成人,2025-12-20,,3.0,通过,张伟,佐证材料完整，予以通过
202400418,创业实践,智能驾培服务平台,创业训练计划·负责人,,负责人,2026-05-19,,3.0,通过,张伟,佐证材料完整，予以通过
202400418,学术论文,基于深度学习的路面裂缝检测方法研究,普通期刊·其他作者,,其他作者,2026-01-24,,0.5,驳回,张伟,盖章缺失，请重新上传完整材料
202400418,申请专利,一种电动汽车电池包液冷结构,实用新型专利·其他发明人,,其他发明人,2026-06-05,,1.5,通过,张伟,符合认定条件，通过
202400418,其他实践活动,德国亚琛工业大学线上交流项目,技能资格培训·中级,,,2026-04-23,,1.0,通过,张伟,佐证材料完整，予以通过
202400419,前沿学术报告,汽车百家讲坛,第6-10期·动力电池热管理关键技术,,,2026-08-27,,0.25,待审核,,
202400419,年度创新创业项目,校级·核心成员,汽车内饰件轻量化设计,,核心成员,2025-08-06,2027-06-30,1.5,待审核,,
202400419,科技创新竞赛,全国大学生机械创新设计大赛,,国家级·一等奖,第三完成人,2026-06-23,,3.0,通过,张伟,符合认定条件，通过
202400419,创业实践,校园二手书流转平台,入驻孵化器·负责人,,负责人,2026-02-24,,4.0,通过,张伟,符合认定条件，通过
202400419,学术论文,电动汽车无线充电耦合机构优化设计,SCI/EI 收录·其他作者,,其他作者,2026-05-13,,2.0,通过,张伟,佐证材料完整，予以通过
202400419,申请专利,一种基于视觉的后视镜盲区监测装置,实用新型专利·其他发明人,,其他发明人,2026-07-02,,1.5,待审核,,
202400419,其他实践活动,汽车工程学院企业行,学科冬夏令营·省级,,,2025-01-27,,1.0,公示中,张伟,符合认定条件，通过
202400420,前沿学术报告,汽车百家讲坛,第6-10期·车载总线与嵌入式系统开发,,,2025-12-04,,0.25,驳回,张伟,材料不完整，请补充佐证后重新提交
202400420,年度创新创业项目,校级·负责人,太阳能小车能量管理策略研究,,负责人,2025-05-14,2027-06-30,2.0,待审核,,
202400420,科技创新竞赛,挑战杯全国大学生课外学术科技作品竞赛,,省级·三等奖,核心成员,2026-03-06,,0.6,通过,张伟,材料齐全，同意认定
202400420,创业实践,智能驾培服务平台,注册成立公司·法人代表,,法人代表,2026-04-20,,6.0,通过,张伟,佐证材料完整，予以通过
202400420,学术论文,混合动力汽车能量管理策略仿真,核心期刊·第一作者,,第一作者,2026-04-27,,4.0,驳回,张伟,认定依据不足，请补充说明材料
